key,id0,id1,x,y,w,h,dist
1,1,10,4866,3944,446,173,464
2,1,100,4866,2414,1662,1703,-1
3,1,101,4866,2482,1707,1635,-1
4,1,103,4866,3948,452,178,532
5,1,104,4866,2220,1683,1897,-1
6,1,105,1141,4040,3895,2450,6310
7,1,106,1141,4040,3895,2450,6306
8,1,107,4866,2361,876,1756,2417
9,1,108,4866,3315,1218,802,1872
10,1,109,4866,3302,980,815,-1
11,1,11,4866,2761,4304,2128,8265
12,1,110,4527,3834,474,283,724
13,1,111,4866,4040,555,851,1223
14,1,112,4692,3966,309,151,428
15,1,113,4866,2761,4304,2856,9729
16,1,114,4115,4040,942,1397,2509
17,1,115,3489,4040,1547,1065,2275
18,1,116,4804,3709,197,408,526
19,1,117,4819,3757,182,360,446
20,1,118,4786,3759,215,358,481
21,1,119,4776,3773,225,344,518
22,1,12,4866,2761,4304,2201,8208
23,1,120,4778,3773,223,344,494
24,1,121,4758,3773,243,344,510
