id0,id1,x,y,w,h,dist
1,10,4866,3944,446,173,464
1,100,4866,2414,1662,1703,-1
1,101,4866,2482,1707,1635,-1
1,103,4866,3948,452,178,532
1,104,4866,2220,1683,1897,-1
1,105,1141,4040,3895,2450,6310
1,106,1141,4040,3895,2450,6306
1,107,4866,2361,876,1756,2417
1,108,4866,3315,1218,802,1872
1,109,4866,3302,980,815,-1
1,11,4866,2761,4304,2128,8265
1,110,4527,3834,474,283,724
1,111,4866,4040,555,851,1223
1,112,4692,3966,309,151,428
1,113,4866,2761,4304,2856,9729
1,114,4115,4040,942,1397,2509
1,115,3489,4040,1547,1065,2275
1,116,4804,3709,197,408,526
1,117,4819,3757,182,360,446
1,118,4786,3759,215,358,481
1,119,4776,3773,225,344,518
1,12,4866,2761,4304,2201,8208
1,120,4778,3773,223,344,494
1,121,4758,3773,243,344,510
1,122,4717,3773,284,344,544
1,123,4730,3728,271,389,568
1,124,4706,3770,295,347,554
1,125,4194,4040,863,1435,2063
1,126,4866,4040,431,809,1027
1,127,4236,3304,765,813,1418
1,128,3968,4053,962,346,-1
1,129,4866,4040,525,288,704
1,13,4866,2761,4304,2137,8170
1,130,4866,3504,707,613,1133
1,131,1314,4040,3722,3152,6069
1,132,1278,4040,3758,3152,5984
1,133,3840,4040,1217,1757,2690
1,134,4866,4040,413,1005,1478
1,135,3604,4040,1432,1085,2191
1,136,4866,3007,314,1110,1394
1,137,4866,3127,854,990,1650
1,138,4866,2761,4304,2538,8487
1,139,4866,2761,4304,2538,8473
1,14,4866,2761,4304,2217,8152
1,140,4866,2761,4304,2578,8794
1,141,4866,2761,4304,2538,8490
1,142,4866,2315,1752,1802,-1
1,143,4866,3527,922,590,1391
1,144,4866,3496,906,621,1407
